1	10
2	14
3	6
4	14
5	20
6	5
7	5
8	9
9	12
10	19
11	9
12	13
13	11
14	16
15	13
16	12
17	14
18	5
19	16
20	14
21	16
22	4
23	14
24	1
25	16
26	18
27	19
28	14
29	20
30	18
31	3
32	6
33	20
34	16
35	3
36	14
37	12
38	6
39	13
40	4
41	7
42	12
43	8
44	20
45	12
46	16
47	3
48	14
49	1
50	9
51	16
52	17
53	14
54	16
55	20
56	17
57	2
58	11
59	1
60	16
61	16
62	11
63	4
64	3
65	13
66	5
67	8
68	5
69	16
70	2
71	20
72	4
73	9
74	5
75	10
76	10
77	19
78	6
79	14
80	10
81	16
82	13
83	12
84	8
85	14
86	1
87	19
88	5
89	16
90	20
91	14
92	19
93	12
94	20
95	14
96	18
97	1
98	18
99	19
100	12
101	18
102	16
103	19
104	19
105	9
106	12
107	20
108	6
109	12
110	16
111	16
112	18
113	19
114	16
115	14
116	20
117	10
118	4
119	8
120	1
121	4
122	4
123	11
124	9
125	14
126	13
127	16
128	14
129	4
130	20
131	14
132	20
133	16
134	7
135	7
136	11
137	16
138	3
139	12
140	19
141	19
142	1
143	4
144	18
145	5
146	11
147	14
148	1
149	20
150	12
151	2
152	12
153	18
154	15
155	11
156	8
157	13
158	13
159	20
160	20
161	18
162	12
163	12
164	4
165	12
166	4
167	5
168	20
169	5
170	19
171	14
172	20
173	7
174	14
175	18
176	14
177	4
178	14
179	18
180	17
181	11
182	16
183	3
184	6
185	3
186	16
187	4
188	7
189	5
190	6
191	18
192	18
193	4
194	12
195	3
196	3
197	20
198	18
199	14
200	3
201	7
202	20
203	13
204	12
205	1
206	20
207	5
208	11
209	12
210	7
211	18
212	19
213	12
214	9
215	7
216	16
217	16
218	19
219	5
220	11
221	16
222	3
223	7
224	5
225	4
226	5
227	16
228	2
229	19
230	4
231	9
232	5
233	10
234	10
235	5
236	12
237	1
238	18
239	19
240	19
241	5
242	18
243	5
244	16
245	7
246	7
247	20
248	4
249	12
250	12
251	19
252	16
253	4
254	5
255	15
256	16
257	2
258	16
259	11
260	6
261	19
262	10
263	4
264	14
265	18
266	5
267	8
268	2
269	16
270	12
271	12
272	5
273	17
274	13
275	5
276	11
277	14
278	7
279	8
280	15
281	18
282	20
283	4
284	11
285	3
286	3
287	19
288	18
289	5
290	18
291	11
292	17
293	7
294	4
295	12
296	18
297	10
298	4
299	20
300	20
301	20
302	14
303	14
304	12
305	9
306	20
307	15
308	18
309	12
310	4
311	18
312	20
313	9
314	8
315	20
316	20
317	5
318	18
319	4
320	16
321	20
322	16
323	20
324	14
325	4
326	4
327	2
328	18
329	9
330	18
331	9
332	20
333	12
334	18
335	12
336	14
337	4
338	9
339	14
340	1
341	14
342	17
343	14
344	5
345	4
346	17
347	20
348	10
349	10
350	16
351	10
352	18
353	16
354	12
355	14
356	1
357	14
358	4
359	7
360	16
361	12
362	5
363	14
364	17
365	5
366	5
367	14
368	18
369	20
370	20
371	18
372	18
373	19
374	14
375	15
376	19
377	20
378	10
379	16
380	12
381	5
382	19
383	16
384	3
385	12
386	11
387	16
388	16
389	20
390	16
391	1
392	5
393	8
394	10
395	17
396	16
397	16
398	12
399	15
400	20
401	1
402	2
403	4
404	9
405	14
406	15
407	20
408	5
409	13
410	13
411	16
412	2
413	1
414	7
415	13
416	6
417	20
418	18
419	15
420	4
421	18
422	2
423	6
424	20
425	4
426	20
427	20
428	1
429	18
430	10
431	10
432	1
433	10
434	1
435	17
436	13
437	4
438	18
439	13
440	12
441	4
442	12
443	16
444	12
445	5
446	7
447	3
448	18
449	8
450	14
451	9
452	15
453	2
454	14
455	1
456	18
457	4
458	12
459	5
460	12
461	14
462	14
463	19
464	9
465	18
466	14
467	5
468	16
469	16
470	7
471	14
472	19
473	20
474	14
475	14
476	18
477	5
478	4
479	10
480	11
481	13
482	16
483	17
484	18
485	19
486	16
487	13
488	12
489	4
490	14
491	5
492	18
493	20
494	5
495	20
496	6
497	19
498	15
499	14
500	5
